Epoch,Loss,Accuracy
1,2.7212376594543457,0.28515625
2,1.9324426651000977,0.4765625
3,1.624640941619873,0.5439453125
4,1.4589149951934814,0.5595703125
5,1.3694844245910645,0.580078125
6,1.2892467975616455,0.607421875
7,1.2271294593811035,0.6259765625
8,1.1778655052185059,0.6337890625
9,1.123209834098816,0.6533203125
10,1.08469820022583,0.6630859375
11,1.0612126588821411,0.6640625
12,1.039638876914978,0.681640625
13,0.9880421161651611,0.6787109375
14,0.964766263961792,0.6865234375
15,0.9665930271148682,0.6923828125
16,0.9333114624023438,0.6962890625
17,0.9223182201385498,0.7119140625
18,0.8672176599502563,0.70703125
19,0.8657336235046387,0.724609375
20,0.8407430648803711,0.7373046875
21,0.840994656085968,0.734375
22,0.8055516481399536,0.732421875
23,0.8174805045127869,0.7392578125
24,0.786452054977417,0.7451171875
25,0.7856051921844482,0.7470703125
26,0.7497165203094482,0.7509765625
27,0.7830773591995239,0.736328125
28,0.7472385764122009,0.7529296875
29,0.7476674318313599,0.7490234375
30,0.726197361946106,0.763671875
31,0.7292478084564209,0.7587890625
32,0.7180763483047485,0.763671875
33,0.7065036296844482,0.7666015625
34,0.686658501625061,0.7744140625
35,0.6855865716934204,0.775390625
36,0.6628932952880859,0.77734375
37,0.6498992443084717,0.7744140625
38,0.6592565774917603,0.77734375
39,0.63433438539505,0.7939453125
40,0.6425226330757141,0.798828125
41,0.637189507484436,0.779296875
42,0.6206039786338806,0.7998046875
43,0.5919926762580872,0.80078125
44,0.6130836009979248,0.802734375
45,0.5891119241714478,0.8037109375
46,0.573400616645813,0.806640625
47,0.5769287347793579,0.8046875
48,0.5826483964920044,0.80859375
49,0.5699362754821777,0.814453125
50,0.5668033361434937,0.8115234375
51,0.5374009013175964,0.8212890625
52,0.5467951893806458,0.8251953125
53,0.5458906888961792,0.8154296875
54,0.519619345664978,0.8115234375
55,0.5034999251365662,0.8369140625
56,0.5295701026916504,0.8173828125
57,0.5060680508613586,0.826171875
58,0.5143240094184875,0.8359375
59,0.5185975432395935,0.828125
60,0.48966535925865173,0.837890625
61,0.5219740271568298,0.826171875
62,0.511231541633606,0.83203125
63,0.46044284105300903,0.8515625
64,0.5002983808517456,0.8291015625
65,0.5074422359466553,0.8291015625
66,0.4672093987464905,0.8583984375
67,0.5036544799804688,0.8359375
68,0.5069504380226135,0.83203125
69,0.49121102690696716,0.8408203125
70,0.4741365909576416,0.8359375
71,0.4812443256378174,0.83203125
72,0.46185174584388733,0.8515625
73,0.4773893356323242,0.8359375
74,0.48048582673072815,0.84375
75,0.4615587592124939,0.845703125
76,0.4865603744983673,0.841796875
77,0.46134039759635925,0.84765625
78,0.45049741864204407,0.859375
79,0.4476983845233917,0.853515625
80,0.46156835556030273,0.8408203125
